CustomerID,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,TotalTransactions,Age,LastLoginIP,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,LoyaltyLevel,ChurnRiskCategory,BasketSizeCategory,ProductDiversity,AccountStatus,Country,Churn,RegistrationDate_day,RegistrationDate_month,RegistrationDate_year,Gender_encoded,Region_encoded,FavoriteSeason_encoded,PreferredTimeOfDay_encoded,WeekendPreference_encoded,CustomerType_encoded,MonetaryPerDay,AvgBasketValue,TenureRatio,ProductDiversityPerTrans,ReturnIntensity
17850,16.950737179487184,13.603661689116102,-30.6,107.25,1693,5.426282051282051,-12,12,374,3,9,12,0.0,0.6857142857142857,1,15,0,15,312,49.1499509964064,59.252.219.201,1.0,4.0,2,0,3,1,3,1,2,Active,United Kingdom,1,17,7,2010,-1,0,1,0,0,2,17.45422442244225,151.10371428571432,4.194444444444445,0.6857142857142857,1.682692307692305
13047,15.70969387755102,11.6847688239824,-15.0,68.0,1355,6.913265306122449,-3,32,374,2,13,10,0.1683673469387755,5.888888888888889,1,24,0,24,196,49.1499509964064,77.255.247.14,3.0,4.0,3,0,3,2,1,1,2,Active,United Kingdom,0,4,10,2010,0,0,0,1,1,3,93.3060606060606,171.0611111111111,0.09329446064139942,5.888888888888889,2.2040816326530606
12583,28.634820717131475,23.15013187581723,-60.84,132.8,5009,19.95617529880478,-36,360,374,4,12,11,0.0557768924302788,6.388888888888889,1,4,0,4,251,46.0,51.139.78.80,2.0,5.0,3,4,3,3,0,2,2,Active,France,0,12,9,2009,-1,1,0,1,1,4,1796.835,399.2966666666667,0.008086253369272238,6.388888888888889,0.28685258964143284
13748,33.86607142857142,42.95311926234322,9.36,204.0,439,15.678571428571429,1,80,374,0,9,9,0.0,4.8,1,0,0,0,28,32.0,10.212.80.124,2.0,2.0,1,2,2,2,3,2,2,Active,United Kingdom,1,28,1,2010,-1,0,0,0,0,1,9.775773195876289,189.65,0.34408602150537637,4.8,0.0
15100,105.85,215.9862634521001,-131.39999999999998,350.4,58,9.666666666666666,-12,32,374,2,9,12,0.0,0.1666666666666666,1,3,0,3,6,49.1499509964064,186.34.121.80,2.0,1.0,1,0,2,1,3,1,0,Active,United Kingdom,1,10,12,2009,0,0,1,0,0,2,1.9187311178247735,105.85000000000001,7.5,0.16666666666666666,3.0
15291,42.16981651376147,49.09086065619568,-35.49,243.36,2074,19.027522935779817,-21,144,374,2,16,1,0.1651376146788991,3.15,1,6,0,6,109,25.0,206.53.156.18,2.0,5.0,3,2,3,2,0,2,2,Active,United Kingdom,0,18,10,2010,0,0,1,2,1,4,170.2411111111111,229.8255,0.07449856733524356,3.15,1.1009174311926602
14688,14.226685236768802,23.64446978200517,-72.15,153.0,3222,8.974930362116991,-39,120,374,1,12,12,0.0,5.481481481481482,1,32,0,32,359,78.0,154.102.135.173,3.0,2.0,3,6,3,3,0,1,2,Active,United Kingdom,0,2,11,2010,-1,0,1,1,0,4,567.4866666666667,189.16222222222223,0.021798365122615803,5.481481481481482,2.4066852367688
17809,72.3065625,142.20644033836976,-717.23,425.0,2015,31.484375,-40,144,374,4,15,10,0.0,3.1333333333333333,1,3,0,3,64,38.0,98.239.241.45,2.0,2.0,3,3,3,2,0,2,2,Active,United Kingdom,0,17,12,2010,1,0,0,2,0,4,272.21294117647057,308.508,0.0446927374301676,3.1333333333333333,0.703125
15311,23.85360899237254,46.625077317700935,-275.0,408.0,37720,15.14251304696909,-100,288,374,1,13,1,0.0397430750702529,4.838983050847458,1,112,0,112,2491,49.1499509964064,199.225.35.180,1.0,3.0,3,0,3,3,0,2,2,Active,United Kingdom,0,23,9,2010,0,0,1,1,1,4,29709.67,503.5537288135593,0.00267379679144385,4.838983050847458,5.305499799277391
14527,7.627477744807122,9.759291387411546,-80.0,87.6,2049,2.026706231454006,-2,36,374,2,12,12,0.049455984174085,3.8488372093023258,1,39,0,39,1011,75.0,114.231.21.241,2.0,1.0,3,6,3,3,0,0,2,Active,United Kingdom,0,4,9,2010,0,0,1,1,1,4,1927.845,89.66720930232559,0.008064516129032258,3.8488372093023258,3.317507418397622
